country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,Continent
Nicaragua,7.08,7.5,7.33,7.17,7.42,7.25,10,10,10,7.5,Americas
Honduras,7.42,7.17,7.17,7.5,7.33,7.25,10,10,10,7.42,Americas
Guatemala,7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,7.33,Americas
"Tanzania, United Republic Of",7.33,7.17,7.17,7.5,7.25,7.42,10,10,10,7.42,Africa
Taiwan,7.5,7.5,7.25,7.25,7.25,7.25,10,10,10,7.25,Asia
Guatemala,7.5,7.33,7.5,7.58,7,7.25,10,10,10,7.08,Americas
Mexico,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10,10,7.5,North America
Nicaragua,7.33,7.5,7.17,7.17,7.58,7.17,10,10,10,7.25,Americas
"Tanzania, United Republic Of",7.67,7.17,7.17,7.33,7.5,7.17,10,10,10,7.17,Africa
Mexico,7.75,7.58,7.08,7.25,7.08,7.25,10,10,10,7.17,North America
Costa Rica,7.5,7.5,7.33,7.17,7.08,7.17,10,10,10,7.42,Americas
Honduras,7.42,7.33,7,7.42,7.33,7.33,10,10,10,7.33,Americas
Thailand,6.83,7.42,7.42,7.17,7.5,7.42,10,10,10,7.42,Asia
Philippines,7.25,7.25,7.25,7.08,7.58,7.5,10,10,10,7.25,Asia
"Tanzania, United Republic Of",7.58,7.17,7.17,7.33,7.33,7.25,10,10,10,7.33,Africa
Malawi,7.58,7.25,7.33,7.08,7.33,7.33,10,10,10,7.25,Africa
Costa Rica,7.33,7.08,7.33,7.25,7.33,7.58,10,10,10,7.25,Americas
Brazil,7.42,7.42,7.17,7.42,7.33,7.25,10,10,10,7.17,Americas
Mexico,7.42,7.25,7.08,7.75,7.42,7.17,10,10,10,7.08,North America
Guatemala,7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,7.25,Americas
Brazil,7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,7.08,Americas
United States (Hawaii),7.25,7.75,7.67,7.67,7.42,7.67,8.67,9.33,10,7.75,North America
Ethiopia,7.42,7.33,7.17,7.33,7.42,7.17,10,10,10,7.25,Africa
Brazil,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,Americas
Nicaragua,7.33,7.33,7.33,7.42,7.33,7.33,10,10,10,7,Americas
United States,7.42,7.17,7.33,7.42,7.25,7.33,10,10,10,7.17,North America
"Tanzania, United Republic Of",7.42,7.33,7.33,7.25,7.25,7.33,10,10,10,7.17,Africa
Costa Rica,7.42,7.25,7.17,7.25,7.25,7.58,10,10,10,7.17,Americas
United States (Puerto Rico),7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,8.5,North America
Mexico,7.25,7.42,7.33,7.33,7.17,7.33,10,10,10,7.25,North America
Mexico,7.33,7.25,7.33,7.42,7.25,7.42,10,10,10,7.08,North America
Mexico,7.33,7.33,7.25,7.42,7.25,7.25,10,10,10,7.25,North America
Mexico,7.42,7.33,7.25,7.42,7.17,7.25,10,10,10,7.25,North America
United States (Hawaii),7.42,7.42,7.25,7.58,6.92,7.17,10,10,10,7.33,North America
Brazil,7.25,7.25,7.17,7.5,7.33,7.17,10,10,10,7.33,Americas
El Salvador,7.42,7.08,7.08,7.33,7.25,7.58,10,10,10,7.25,Americas
Brazil,7.33,7.17,7.17,7.67,7.33,7.17,10,10,10,7.17,Americas
Guatemala,7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,7.25,Americas
Colombia,7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,7.75,Americas
Guatemala,7.5,7.25,7,7.25,7.5,7.25,10,10,10,7.25,Americas
Taiwan,7.25,7.17,7.17,7.25,7.5,7.33,10,10,10,7.33,Asia
Honduras,7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,7.33,Americas
Brazil,7.67,7.75,7.83,7.75,7.83,7.75,10,6.67,10,7.75,Americas
"Tanzania, United Republic Of",7.33,7.33,7.08,7.42,7.17,7.33,10,10,10,7.33,Africa
Uganda,7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,7.42,Africa
Taiwan,7.5,6.92,7.33,7.33,7.33,7.33,10,10,10,7.25,Asia
Thailand,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,7.17,Asia
Mexico,7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,7.25,North America
Mexico,7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,7.5,North America
Taiwan,7.33,7.17,7.25,7.33,7.33,7.25,10,10,10,7.25,Asia
Guatemala,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,Americas
Kenya,7.17,7.58,7.5,7.5,8,7.75,10,10,10,5.42,Africa
Mexico,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,7.33,North America
Myanmar,7.17,7.42,7,7.58,7.33,7,10,10,10,7.42,Asia
United States (Hawaii),7.42,7.08,7.17,7.17,7.58,7.25,10,10,10,7.25,North America
"Tanzania, United Republic Of",7.33,7.17,7.17,7.25,7.42,7.33,10,10,10,7.25,Africa
Brazil,7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,Americas
Taiwan,7.92,7.67,7.33,7.08,7.08,7.08,10,10,10,6.75,Asia
Brazil,7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,Americas
Nicaragua,7.33,7.08,7.25,7,7.5,7.42,10,10,10,7.33,Americas
Guatemala,7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,7.08,Americas
Taiwan,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,Asia
Taiwan,7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,7.17,Asia
Taiwan,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,Asia
Mexico,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,North America
Thailand,7.67,7.58,7.33,7.33,7.17,7,10,10,10,6.83,Asia
Laos,7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,7.33,Asia
Guatemala,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,Americas
Mexico,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,North America
Mexico,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,North America
Mexico,7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,7.25,North America
United States (Hawaii),7.42,7.33,7,7.25,7.33,7.5,10,10,10,7,North America
Colombia,7.33,7.33,7,6.83,7.33,7.67,10,10,10,7.33,Americas
Brazil,7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,7.25,Americas
Myanmar,6.92,7.5,7,7.58,7.5,7.08,10,10,10,7.17,Asia
Guatemala,7.5,7.33,7,7.42,7.17,7.17,10,10,10,7.17,Americas
Nicaragua,7.25,7.25,7.17,7.25,7.33,7.25,10,10,10,7.25,Americas
Honduras,7.5,7.33,7,7.42,7.25,7.17,10,10,10,7.08,Americas
Panama,7.25,7.33,7.17,7.33,7.33,7.17,10,10,10,7.17,Americas
Honduras,7.42,7.17,7.08,7.42,7.25,7.25,10,10,10,7.17,Americas
Honduras,7.25,7.33,7.08,7.5,7.25,7.33,10,10,10,7,Americas
Costa Rica,7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,7.25,Americas
Mexico,7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10,7.5,North America
Haiti,7.42,7,7.42,7.25,7.08,7.33,10,10,10,7.25,Americas
United States (Hawaii),7.08,7.33,7.17,7.25,7.33,7.67,10,10,10,6.92,North America
Taiwan,7.33,7.08,7.08,7.08,7.42,7.33,10,10,10,7.33,Asia
Indonesia,7.58,7.42,7,7.67,7.5,7.5,9.33,9.33,10,7.33,Asia
Guatemala,7.67,7.42,6.83,7.17,7.42,7.17,10,10,10,7,Americas
Costa Rica,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,10,8,Americas
Malawi,7.5,7.25,7.17,7.17,7.25,7.17,10,10,10,7.17,Africa
Mexico,7.25,7.17,7.17,7.25,7.17,7.42,10,10,10,7.25,North America
Colombia,7.67,7.5,7.42,7.67,7.5,7.75,10,10,6.67,8.5,Americas
Guatemala,7.67,7.17,7,7.5,7,7,10,10,10,7.33,Americas
Guatemala,7,7.33,7.5,7.33,7,7.33,10,10,10,7.17,Americas
Guatemala,7,7.5,7.33,7.17,7.17,7.17,10,10,10,7.33,Americas
Colombia,7.17,7.25,7.08,7.42,7.08,7.42,10,10,10,7.25,Americas
Brazil,7.33,7.25,7.33,7.08,7.58,7.25,9.33,10,10,7.42,Americas
Nicaragua,7.08,7.5,7,7.25,7.42,7,10,10,10,7.33,Americas
"Tanzania, United Republic Of",7.25,7.08,7.08,7.33,7.33,7.25,10,10,10,7.25,Africa
Brazil,7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,Americas
Honduras,7.5,7.17,7,7.42,7.33,7,10,10,10,7.17,Americas
Guatemala,7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,Americas
United States (Hawaii),7.42,7.58,7.5,7.92,7.83,7.83,8.67,8.67,9.33,7.83,North America
Colombia,7.08,7.25,7,7.5,7.08,7.33,10,10,10,7.33,Americas
Taiwan,7.17,7.17,7.17,7.42,7.17,7.25,10,10,10,7.17,Asia
Guatemala,7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,Americas
Honduras,7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,Americas
Mauritius,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,Africa
Brazil,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,Americas
Myanmar,7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,Asia
Guatemala,7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,Americas
Brazil,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,Americas
United States (Hawaii),7.42,7.33,7.33,7.58,7.58,7.42,8.67,10,10,7.17,North America
Guatemala,7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,Americas
Mexico,7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,North America
Honduras,7.25,7.42,7,7.42,7.33,7,10,10,10,7,Americas
Taiwan,7.58,7.17,7.17,7.17,7.17,7.17,10,10,10,7,Asia
El Salvador,7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,Americas
China,7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,Asia
Taiwan,7.25,7.25,7.17,7.25,7.25,7.25,10,10,10,7,Asia
Mexico,6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,North America
Mexico,7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,North America
Burundi,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,Africa
"Tanzania, United Republic Of",7.25,7.17,7,7.25,7.42,7.08,10,10,10,7.17,Africa
"Tanzania, United Republic Of",7.25,7.17,7.25,7.25,7.25,7.08,10,10,10,7.08,Africa
Taiwan,7.25,7.25,7.08,7.25,7.25,7.25,10,10,10,7,Asia
Guatemala,7.33,7.33,6.83,7.5,7,7.17,10,10,10,7.17,Americas
Mexico,7.25,7.08,7.08,7.33,7.33,7.17,10,10,10,7.08,North America
United States (Hawaii),7.17,7.5,6.92,7.33,7.67,7.33,9.33,10,10,7.08,North America
Ethiopia,7.25,7.25,7.25,7.33,7.5,8,9.33,9.33,10,7.08,Africa
Brazil,7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,Americas
Honduras,7.25,7.25,7,7,7.42,7,10,10,10,7.33,Americas
Mexico,7.25,7.17,7,7.33,7.33,7,10,10,10,7.17,North America
Myanmar,8,7.08,7,7.33,7.08,6.92,10,10,10,6.83,Asia
Myanmar,7.42,7,7.08,7,7.17,7.33,10,10,10,7.25,Asia
Nicaragua,7.08,6.92,7,7.25,7.5,7.25,10,10,10,7.25,Americas
United States (Hawaii),7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,7.33,North America
Colombia,7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,8.67,7.58,Americas
Taiwan,7.25,7.08,7.25,7.25,7.17,7.25,10,10,10,7,Asia
Guatemala,7,7.17,7.33,7.33,7,7.17,10,10,10,7.25,Americas
Mexico,7.58,7.33,7.17,7.25,6.75,7,10,10,10,7.17,North America
Vietnam,7.42,7.25,7.25,7.58,7.42,7.33,8.67,10,10,7.25,Asia
Nicaragua,7.17,7.08,7.08,7.33,7.25,7.08,10,10,10,7.17,Americas
Honduras,7.25,7.25,7,7.17,7.08,7.08,10,10,10,7.33,Americas
Guatemala,7.33,7.33,7,7.17,7.17,7.17,10,10,10,7,Americas
Mexico,7.33,7.08,6.92,7.42,7.25,7.08,10,10,10,7.08,North America
Mexico,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,10,7.42,North America
Mexico,7.33,7.33,7.17,7.08,7.25,7,10,10,10,7,North America
Guatemala,7.33,7.33,7,7.33,7,7,10,10,10,7.17,Americas
United States (Hawaii),7.58,7.5,7.33,7.33,7.67,7.33,9.33,9.33,9.33,7.42,North America
Brazil,7.17,7.17,7,7.17,7.25,7.25,10,10,10,7.08,Americas
Taiwan,7.42,7.25,7.25,7.17,7,7,10,10,10,7,Asia
Nicaragua,7.25,7.17,6.92,7.25,7.17,7.25,10,10,10,7.08,Americas
Taiwan,7.25,7.25,7.25,7.25,7.08,7,10,10,10,7,Asia
Taiwan,7.25,7.25,7.25,7,7.25,7.08,10,10,10,7,Asia
Taiwan,7.25,7.25,7.25,7.08,7.17,7.08,10,10,10,7,Asia
Mexico,7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,7.08,North America
Mexico,7.25,7.08,7,7.17,7.33,7.17,10,10,10,7.08,North America
Nicaragua,7.33,7.08,6.92,7.08,7.42,7.17,10,10,10,7,Americas
Myanmar,7.17,7.33,7,7.42,7.17,7,10,10,10,6.92,Asia
Mexico,7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10,7.42,North America
Taiwan,7.25,7.25,7.25,7,7.25,7,10,10,10,7,Asia
Thailand,7.33,6.67,7.08,7.42,7.42,7.08,10,10,10,7,Asia
Mexico,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,7.25,North America
Mexico,7.08,7.33,7,7.33,7.08,7,10,10,10,7.17,North America
Ethiopia,7.42,7.42,7.5,7.92,7.75,7.58,8.67,9.33,8.67,7.75,Africa
Colombia,7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,10,7.42,Americas
United States (Hawaii),7.5,7,7,6.92,7.33,7.17,10,10,10,7,North America
Mexico,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,7.17,North America
Mexico,7.17,7.17,6.92,7.25,7.33,7.08,10,10,10,7,North America
Mexico,7.5,7.17,7,7.17,7.25,7.08,10,10,10,6.75,North America
Mexico,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,10,7.33,North America
Mexico,7.33,7.25,7,7.42,7.17,7.17,9.33,10,10,7.25,North America
Mexico,7.17,7.33,7.08,7.58,7.33,7.08,10,9.33,10,7,North America
United States (Hawaii),7.5,7.42,7.58,7.42,7.5,7.58,8.67,8.67,10,7.58,North America
Kenya,7,7.08,7,7.17,7.25,7.25,10,10,10,7.08,Africa
Guatemala,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10,10,7.08,Americas
Nicaragua,6.83,7.17,7.17,6.92,7.5,7.08,10,10,10,7.17,Americas
Mexico,7.17,7.08,7,7.25,7.5,7,10,10,10,6.83,North America
United States (Hawaii),7.58,7.08,6.83,7.17,7.5,7.17,9.33,10,10,7.17,North America
Guatemala,7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.25,Americas
Taiwan,7.75,7.33,7.17,7.33,7.67,7.83,9.33,9.33,8.67,7.33,Asia
Taiwan,7.08,7.08,7.25,7,7.17,7.17,10,10,10,7,Asia
Thailand,7.25,7.08,6.92,7.5,7.08,6.92,10,10,10,7,Asia
Peru,7,7.08,7,7.25,7.5,7.42,9.33,10,10,7.17,Americas
Costa Rica,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,Americas
Mexico,7.58,7.08,7,7,7.5,6.92,10,10,10,6.67,North America
Mexico,7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,North America
Mexico,7.25,7.08,7,7.17,7.17,7.08,10,10,10,7,North America
Mexico,7.25,7.17,7.17,7.08,7.17,7,10,10,10,6.92,North America
Mexico,7.33,7.25,7,7.08,7.08,7,10,10,10,7,North America
Guatemala,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,9.33,7.67,Americas
Mexico,7.25,6.83,6.92,7.08,7.25,7.08,10,10,10,7.33,North America
Guatemala,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,Americas
El Salvador,7.25,7.08,7,6.83,7.33,7.17,10,10,10,7,Americas
Thailand,6.92,7.17,6.83,7.42,7.17,7.08,10,10,10,7.08,Asia
Guatemala,7.5,7,6.83,7.08,7.08,7.17,10,10,10,7,Americas
Mexico,7.42,7.25,6.83,7.58,7.17,6.58,10,10,10,6.83,North America
Mexico,7.33,7.17,7,6.75,7.08,7,10,10,10,7.33,North America
Mexico,6.92,7.17,7.17,7.17,7.08,7.08,10,10,10,7.08,North America
Thailand,7.17,7.17,7,7,7.25,6.92,10,10,10,7.17,Asia
Mexico,7.08,7,6.92,7.33,7.25,7.08,10,10,10,6.92,North America
Mexico,7.25,6.92,6.92,7.33,7.25,7,10,10,10,6.92,North America
Colombia,7.25,7.17,7,6.75,7.17,7.33,10,10,10,6.92,Americas
Guatemala,7.08,7,6.83,7.33,7.25,7,10,10,10,7.08,Americas
Nicaragua,6.92,6.92,7,7.42,7.25,7,10,10,10,7,Americas
Taiwan,6.92,7,7.17,7,7.42,7,10,10,10,7,Asia
Colombia,7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,7.5,Americas
Mexico,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,10,7,North America
Mexico,7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,7,North America
Guatemala,7.08,7.33,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.42,Americas
Guatemala,7.25,7.33,6.83,7,7,7.17,10,10,10,6.83,Americas
Mexico,7,6.83,6.83,7.42,7.33,7.17,10,10,10,6.83,North America
Cote d?Ivoire,7.42,7.25,6.83,7,7.33,7.08,9.33,10,10,7.08,Africa
Colombia,7.42,7.25,6.75,7.25,7.42,7.25,9.33,9.33,10,7.33,Americas
Mexico,7,7,6.83,7.33,7.42,6.92,10,10,10,6.83,North America
Mexico,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,10,7,North America
Guatemala,7.17,6.5,6.33,7.25,7.58,7.33,10,10,10,7.17,Americas
Taiwan,7.08,6.83,6.83,7.25,7.42,7.08,10,10,10,6.75,Asia
Mexico,7,7,6.92,7.17,7.17,7.08,10,10,10,6.92,North America
Guatemala,7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,9.33,7.42,Americas
Honduras,7.58,7,6.75,6.92,7,6.92,10,10,10,7,Americas
Guatemala,7.08,7,6.92,7.42,7,6.92,10,10,10,6.83,Americas
Guatemala,7.25,7.17,6.75,7.25,7,6.92,10,10,10,6.83,Americas
Costa Rica,7.17,7.42,7.5,8,7.25,7.83,10,10,6.67,7.33,Americas
Mexico,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,10,7.17,North America
Mexico,7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,North America
Mexico,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,6.92,North America
Guatemala,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,Americas
United States (Puerto Rico),7.42,7.08,6.75,7.33,7.33,6.92,10,9.33,10,6.92,North America
Mexico,7.33,7,6.92,7.25,7.33,7.08,9.33,10,10,6.83,North America
Mexico,7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,6.92,North America
Mexico,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10,7.25,North America
Guatemala,7.33,7.17,6.58,7.42,7.08,6.83,10,10,10,6.58,Americas
Honduras,7,7,7,7,7,7,10,10,10,7,Americas
Peru,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,7,Americas
Mexico,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,North America
Mexico,7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,7,North America
Mexico,7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,6.83,North America
Mexico,7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,7,North America
Mexico,7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,North America
Nicaragua,7.17,7,6.92,7,7,7,10,10,10,6.75,Americas
United States (Hawaii),7.5,6.92,6.92,7.25,7.58,7.42,9.33,9.33,9.33,7.17,North America
Guatemala,7.33,7.08,6.33,7.25,7,7,10,10,10,6.75,Americas
Mexico,7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,North America
Mexico,7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,7,North America
Mexico,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,7,North America
China,7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,Asia
Mexico,6.92,6.92,6.67,7.25,7.17,6.92,10,10,10,6.83,North America
Nicaragua,7.08,7,6.75,6.83,7.08,6.92,10,10,10,6.92,Americas
Nicaragua,6.83,7.08,6.92,6.75,7.25,7.08,10,10,10,6.67,Americas
Guatemala,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,Americas
Taiwan,6.83,6.75,7.17,7.25,7,6.92,10,10,10,6.67,Asia
Mexico,7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,North America
Mexico,7.92,7.58,7.58,7.92,7.92,7.5,8,6.67,10,7.5,North America
United States (Hawaii),7.92,6.83,7.08,7.42,6.75,7.33,8.67,9.33,10,7.25,North America
Mexico,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,North America
Mexico,7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,North America
Mexico,7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,North America
Brazil,6.83,7,6.92,7.08,6.92,6.83,10,10,10,6.83,Americas
Mexico,7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,North America
United States (Hawaii),7.5,7.75,7.58,7.83,7.92,7.92,7.33,8,8.67,7.83,North America
Guatemala,7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,Americas
Guatemala,7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,Americas
Mexico,7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,North America
Guatemala,7.17,6.08,6.17,7.25,7.33,7.33,10,10,10,7,Americas
United States (Hawaii),7.5,7.5,7.33,7.58,7.5,7.42,8.67,8.67,8.67,7.42,North America
United States (Hawaii),7.42,7.33,7.33,7.5,7.67,7.75,8,8.67,9.33,7.25,North America
Indonesia,6.92,6.83,6.92,6.92,6.92,6.83,10,10,10,6.83,Asia
Mexico,7.08,6.83,6.67,7.25,7.25,6.92,10,9.33,10,6.75,North America
Taiwan,7.5,7.08,7.33,7.17,7.5,7.5,6.67,10,10,7.25,Asia
Honduras,6.83,7,6.67,7,7,6.83,10,10,10,6.67,Americas
United States (Hawaii),7.58,7.33,7.5,7.42,7.5,7.33,8,8.67,9.33,7.33,North America
Guatemala,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,Americas
China,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,Asia
Guatemala,7,6.83,6.83,7.17,6.67,6.83,10,10,10,6.67,Americas
Mexico,7.25,7.33,7,7,7.25,7.08,10,10,8,7.08,North America
Colombia,7.42,7.17,7,7.17,7.67,7.17,8.67,9.33,9.33,7.08,Americas
Costa Rica,7.5,7.25,7.42,7,7.08,6.83,8.67,9.33,10,6.83,Americas
Mexico,7.42,7.25,7,7,7.25,7.08,8,10,10,6.92,North America
Guatemala,7.17,6.17,6.17,7.08,7.33,6.83,10,10,10,7.17,Americas
Nicaragua,7.42,7,7,7.17,7.08,7,9.33,8.67,10,7.17,Americas
Brazil,7,6.75,6.67,6.83,7.08,6.83,10,10,10,6.67,Americas
Guatemala,7,6.83,6.67,7.17,6.83,6.83,10,10,10,6.5,Americas
Taiwan,7.17,6.75,6.58,7.33,7.33,7.17,9.33,9.33,10,6.67,Asia
United States (Hawaii),7.58,7.67,7.58,7.67,7.42,7.42,9.33,9.33,6,7.58,North America
Mexico,7.17,6.75,6.58,6.75,6.83,6.75,10,10,10,6.67,North America
Guatemala,7.08,6.92,6.33,7,6.92,7,10,10,10,6.17,Americas
Brazil,7.5,7.33,7.42,7.58,7.58,6.92,8,8,10,7,Americas
Guatemala,7.33,7,6.83,7.17,7.17,7.17,9.33,9.33,9.33,6.67,Americas
Mexico,7.33,7,6.67,7,6.92,6.92,9.33,9.33,10,6.83,North America
Haiti,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10,10,6.83,Americas
United States (Hawaii),7.08,6.92,6.83,6.67,7.58,7.42,8.67,9.33,10,6.75,North America
Mexico,7.08,7,7,7.25,7.33,7.25,8.67,8.67,10,6.92,North America
Peru,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,Americas
India,7.67,7.33,7.17,6.67,7.17,7.42,9.33,10,6.67,7.42,Asia
Mexico,6.67,6.33,6.42,6.83,7,6.92,10,10,10,6.58,North America
Guatemala,6.42,6.5,6.5,7.33,6.33,6.92,10,10,10,6.5,Americas
Mexico,7.17,6.58,6.58,7,7.25,6.58,9.33,9.33,10,6.58,North America
Guatemala,7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,8.67,7,Americas
Guatemala,6.17,6.5,6.5,7.17,7,6.83,10,10,10,6.17,Americas
United States (Hawaii),7.25,7.08,6.83,7.17,7.33,6.83,8.67,8.67,9.33,7.08,North America
United States (Hawaii),7.5,7.33,7.33,7.58,7.67,7.25,8,8,8,7.5,North America
Mexico,7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,6.75,North America
Indonesia,7.33,7,6.5,6.08,7.58,6.33,9.33,10,9.33,6.67,Asia
Mexico,7.08,6.83,6.83,7.17,7.17,7.08,10,7.33,10,6.58,North America
Honduras,6.83,6.83,6.67,6.83,7,6.83,9.33,8.67,10,7,Americas
Philippines,6.83,6.5,6.5,6.92,6.75,7,9.33,10,9.33,6.67,Asia
Brazil,7.17,7,6.83,7.5,7.17,7,8,8,10,7,Americas
Guatemala,7.92,7.58,7.17,7.58,7.33,7.17,8,8,8,6.83,Americas
Guatemala,6.67,6.5,6.33,7,7.17,6.75,8.67,10,10,6.5,Americas
Mexico,7.5,7.25,6.92,7,7.17,6.83,8,8,10,6.83,North America
Mexico,7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,6.58,North America
Mexico,7.25,6.83,6.67,7.08,7.17,6.83,10,6.67,10,6.67,North America
Mexico,7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10,6.75,North America
Mexico,7,6.92,6.75,6.92,7.17,6.83,10,6.67,10,6.75,North America
Mexico,7.08,6.75,6.58,7,7,6.75,8.67,8.67,10,6.42,North America
Mexico,7.33,6.75,6.67,7.25,7.5,7,10,5.33,10,7,North America
Guatemala,6.75,6.5,6.17,7,7.25,6.75,8,10,10,6.33,Americas
Guatemala,6.75,6.67,6.17,7.17,7,6.58,8,10,10,6.42,Americas
Mexico,7.08,7,6.83,7.5,7.33,6.83,8,7.33,10,6.75,North America
United States (Hawaii),7.5,7.25,7,7.25,7.42,7.33,8,8.67,6.67,7.33,North America
